"売上№=masterid,dempyounum",売上日=uriagebi,得意先ｺｰﾄﾞ=customerid,得意先名,行№=num,品名=pro,単位=tani,数量=amount,単価=tanka,金額=price,備考=bik,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,17,シャーメゾン尾崎,式　,1,1485,1485,                    ,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,18,シャーメゾン有田,式　,1,825,825,                    ,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,19,シャーメゾン中島,式　,1,770,770,                    ,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,20,グリーンルーフ,式　,1,660,660,                    ,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,21,グリーンルーフ,式　,1,660,660,                    ,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,22,シャーメゾン砂山南,式　,1,5907,5907,                    ,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,23,べレオＫ,式　,1,2068,2068,                    ,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,24,べレオ太田,式　,1,2068,2068,                    ,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,25,シャーメゾンｂｒｉｌｌｉａｎｔ,式　,1,770,770,                    ,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,26,べレオ新通,式　,1,2068,2068,                    ,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,27,アメニティ太田,式　,1,770,770,                    ,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,28,べレオ堀止西,式　,1,2068,2068,                    ,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,29,ヴィレッジ三年坂,式　,1,4136,4136,                    ,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,30,ベレオ西浜ハーモニーガーデン,式　,1,3102,3102,                    ,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,31,ディアス妙寺,式　,1,693,693,                    ,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,32,グリーンルーフ妙寺,式　,1,990,990,                    ,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,33,ベレオ園部,式　,1,3102,3102,                    ,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,34,ガーデンハイツⅡ,式　,1,770,770,                    ,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,35,コラール堀止,式　,1,770,770,                    ,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,36,シャーメゾン葵,式　,1,495,495,                    ,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,37,ベルデ堀口,式　,1,2068,2068,                    ,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,38,シャーメゾンＷＩＬＬ,式　,1,770,770,                    ,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,39,ＳｈａＭａｉｓｏｎ　ＮＡ,式　,1,770,770,                    ,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,40,ベレオＢｒｉｌｌｉａｎｔ,式　,1,1650,1650,                    ,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,41,ベレオ紀三井寺,式　,1,1100,1100,                    ,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,42,ベレオけやき,式　,1,4136,4136,                    ,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,43,シャーメゾン松江北,式　,1,495,495,                    ,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,44,ベレオコスモ,式　,1,1650,1650,                    ,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,45,シャーメゾンＬａＬａ,式　,1,770,770,                    ,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,46,ベレオ小堀,式　,1,4136,4136,                    ,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,47,ベレオ寺町通り,式　,1,3102,3102,                    ,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,48,メゾンド・ベレオ,式　,1,1650,1650,                    ,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,49,シャーメゾン宝亀,式　,1,3454,3454,                    ,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,50,ベレオ小野町,式　,1,2068,2068,                    ,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,51,シャーメゾン彩花,式　,1,990,990,                    ,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,52,ベレオ広瀬,式　,1,5907,5907,                    ,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,53,Ｔｏｕｒｎｅｓｏｌ,式　,1,4136,4136,                    ,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,54,Ｍａｉｓｏｎ　ｄｅ　Ａｌｌｉｅ,式　,1,495,495,                    ,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,55,ディアス松野,式　,1,1045,1045,                    ,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,56,プロヌーブ今福,式　,1,990,990,                    ,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,57,ベレオ黒田ＳＯＵＴＨ,式　,1,990,990,                    ,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,58,Ｆｅｌｉｃａ紀三井寺,式　,1,770,770,                    ,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,59,ＢＥＲＥＯ　ＷＡＫＡＹＡＭＡ,式　,1,1595,1595,                    ,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,60,シャーメゾン茶屋ノ丁,式　,1,495,495,                    ,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,61,ベレオくすのき,式　,1,4136,4136,                    ,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,62,ＢＥＲＥＯ　Ｒｉａｎ,式　,1,3102,3102,                    ,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,63,フレグランス船所,式　,1,1166,1166,                    ,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,64,フレグランス船所Ⅱ,式　,1,1320,1320,                    ,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,65,メゾンドソレイユ,式　,1,245,245,                    ,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,66,シャーメゾンガーデンズ紀三井寺,式　,1,770,770,                    ,
